Average,BDL,21,160,271,Cloudy,01.01.11
Average,4,23,180,287,Partially,02.01.11
Average,5,40,180,325,Clear,02.02.11
Average,BDL,26,256,371,Cloudy,03.01.11
Average,5,49,282,499,Clear,03.02.11
Average,BDL,28,279,464,Cloudy,04.01.11
Average,BDL,33,256,410,Clear,05.01.11
Average,BDL,24,174,286,Clear,05.02.11
Average,7,24,120,260,Clear,05.03.11
Average,BDL,16,134,267,Clear,06.02.11
Average,7,16,103,224,Clear,06.03.11
Average,BDL,23,86,259,Clear,07.02.11
Average,BDL,17,91,213,Clear,07.03.11
Average,BDL,17,321,415,Cloudy,08.01.11
Average,BDL,22,120,296,Clear,08.02.11
Average,BDL,19,81,196,Clear,08.03.11
Average,BDL,23,273,473,Cloudy,09.01.11
Average,BDL,15,82,215,Clear,09.02.11
Average,BDL,15,123,231,Clear &,09.03.11
Average,BDL,50,314,459,Clear/,10.01.11
Average,BDL,31,178,290,Clear,10.02.11
Average,4,17,130,266,Clear &,10.03.11
Average,5,25,352,478,Clear,11.01.11
Average,5,30,298,417,Clear,12.01.11
Average,BDL,33,242,445,Clear,12.02.11
Average,5,25,146,292,Clear,12.03.11
Average,BDL,27,273,385,Clear &,13.01.11
Average,BDL,19,173,394,Clear,13.02.11
Average,BDL,22,200,336,Clear,13.03.11
Average,BDL,18,137,323,Cloudy,14.02.11
Average,4,23,186,360,Clear,14.03.11
Average,BDL,24,168,366,Clear,15.01.11
Average,BDL,BDL,39,50,Cloudy,15.02.11
Average,4,34,222,400,Clear,15.03.11
Average,BDL,19,151,378,Clear &,16.01.11
Average,BDL,39,245,406,Clear,16.03.11
Average,BDL,21,141,203,Clear,17.02.11
Average,6,31,260,453,Clear,17.03.11
Average,4,25,213,361,Clear,18.01.11
Average,5,28,177,324,Clear,19.01.11
Average,4,27,211,350,Clear,19.02.11
Average,6,22,235,584,Partial Cloudy,19.03.11
Average,6,42,212,333,Clear,20.01.11
Average,5,16,128,227,Cloudy,20.02.11
Average,BDL,13,182,602,Clear,20.03.11
Average,BDL,BDL,94,334,Clear,02.04.11
Average,4,22,124,201,Clear,21.02.11
Average,BDL,15,120,334,Clear,21.03.11
Average,5,33,239,430,Clear &,22.01.11
Average,BDL,13,143,218,Clear and,22.02.11
Average,10,24,156,319,Clear,22.03.11
Average,BDL,33,209,386,Clear,23.01.11
Average,BDL,15,136,220,Clear,23.02.11
Average,BDL,15,154,403,Clear,23.03.11
Average,6,35,231,386,Clear  &,24.01.11
Average,4,21,168,265,Clear,24.02.11
Average,5,17,122,314,Clear,24.03.11
Average,BDL,26,185,303,Partially,25.01.11
Average,BDL,16,95,142,Cloudy &,26.02.11
Average,BDL,27,158,392,Clear,26.03.11
Average,BDL,37,206,349,Clear,27.01.11
Average,BDL,20,105,220,Clear,27.02.11
Average,BDL,13,190,363,Clear,27.03.11
Average,8,23,121,249,Clear,28.02.11
Average,BDL,11,157,388,Clear,28.03.11
Average,7,28,232,359,Clear,29.01.11
Average,BDL,BDL,133,360,Clear,29.03.11
Average,BDL,14,268,451,Clear,30.01.11
Average,BDL,16,149,313,Clear,30.03.11
Average,BDL,10,98,227,Clear,03.04.11
Average,BDL,36,238,384,Clear,31.01.11
Average,4,19,141,259,Clear,04.04.11
Average,4,18,127,228,Clear,05.04.11
Average,9,31,160,356,Clear,06.04.11
